wl,n,k
0.3,2.18,0
0.365,2.184180485,0
0.4114,2.157402548,0
0.4577,2.139457506,0
0.5041,2.126701404,0
0.5504,2.117291268,0
0.5968,2.110085253,0
0.6431,2.104439338,0
0.6895,2.099892459,0
0.7358,2.096172295,0
0.7822,2.09306009,0
0.8285,2.090425506,0
0.8749,2.088152214,0
0.9212,2.086172286,0
0.9676,2.084418244,0
1.014,2.082849329,0
1.06,2.08144194,0
1.107,2.080127888,0
1.153,2.078941097,0
1.199,2.077835009,0
1.246,2.07677352,0
1.292,2.075789991,0
1.338,2.074851582,0
1.385,2.073931075,0
1.431,2.073060828,0
1.477,2.072215241,0
1.524,2.07137176,0
1.57,2.070562118,0
1.616,2.069764668,0
1.663,2.06895933,0
1.709,2.068177711,0
1.756,2.067383444,0
1.802,2.066608304,0
1.848,2.065833611,0
1.895,2.065040944,0
1.941,2.064262651,0
1.987,2.063480681,0
2.034,2.062676799,0
2.08,2.061884237,0
2.126,2.061085089,0
2.173,2.060260963,0
2.219,2.059446218,0
2.265,2.058622771,0
2.312,2.057771841,0
2.358,2.056929107,0
2.404,2.056076088,0
2.451,2.055193451,0
2.497,2.054318344,0
2.543,2.053431737,0
2.59,2.052513621,0
2.636,2.051602742,0
2.683,2.050659188,0
2.729,2.049722828,0
2.775,2.048773467,0
2.822,2.047789786,0
2.868,2.046813413,0
2.914,2.045823349,0
2.961,2.044797408,0
3.007,2.04377905,0
3.053,2.042746415,0
3.1,2.041676402,0
3.146,2.040614372,0
3.192,2.039537555,0
3.239,2.038421893,0
3.285,2.037314709,0
3.331,2.036192283,0
3.378,2.035029566,0
3.424,2.033875896,0
3.47,2.032706568,0
3.517,2.031495511,0
3.563,2.030294129,0
3.61,2.029050057,0
3.656,2.027816108,0
3.702,2.026565865,0
3.749,2.025271489,0
3.795,2.023987939,0
3.841,2.022687736,0
3.888,2.021341947,0
3.934,2.020007722,0
3.98,2.018656493,0
4.027,2.017258209,0
4.073,2.015872255,0
4.119,2.014468952,0
4.166,2.013017106,0
4.212,2.011578379,0
4.258,2.01012196,0
4.305,2.008615484,0
4.351,2.007122942,0
4.397,2.005612358,0
4.444,2.004050181,0
4.49,2.002502768,0
4.537,2.000902717,0
4.583,1.999317996,0
4.629,1.997714642,0
4.676,1.996057062,0
4.722,1.994415671,0
4.768,1.992755281,0
4.815,1.991039047,0
4.861,1.989339873,0
4.907,1.987621326,0
4.954,1.985845279,0
5,1.984087178,0
8,1.984,0
15,1.984,0